how did serfdom develop in and then leave russia ? ,,, unknown
what color of dry wine should be served with veal roasts and chops ? ,,, what
what is a golf ball made of ? ,,, what
what is the amish religion ? ,,, what
what does an average daycare provider get paid in new england ? ,,, what
what was the name of the 187s irish terrorist group in pennsylvania mining areas ? ,,, what
who played the ringo kid in the 1939 film stagecoach ? ,,, who
who died 1 feet from where john f. kennedy did ? ,,, who
what is the `` coppertop '' battery ? ,,, what
what sign is the water carrier the zodiacal symbol for ? ,,, what
what animals do you find in the stock market ? ,,, what
what is color ? ,,, what
when is the site www.questions.com going to open ? ,,, when
what did shostakovich write for rostropovich ? ,,, what
what first name was nipsy russell given at birth ? ,,, what
how can i get some free technical information on electric vehicle ? ,,, unknown
who is the youngest of the beatles ? ,,, who
how did shipyard inspector james j. kilroy designate equipment as being satisfactory ? ,,, unknown
what is a jellicle cat ? ,,, what
where can i find the best free evidence for debate about russia ? ,,, unknown
what is bill gates of microsoft e-mail address ? ,,, what
what is the second hardest substance ? ,,, what
why did several san diego schools stop serving apples to students ? ,,, unknown
what russian city boasts the hermitage museum ? ,,, what
when is bastille day ? ,,, when
what makes a tornado turn ? ,,, what
how many shots can a stock m16 hold ? ,,, unknown
what two colors are you blind to if you suffer from protanopia ? ,,, what
why do n't you guys have some sort of contest where you ask a question and whoever finds the answers wins a prize ? ,,, unknown
who is coronado ? ,,, who
what was the name of the movie that starred sharon stone and arnold schwarzenegger ? ,,, what
what is artificial intelligence ? ,,, what
what do flatfish eat ? ,,, what
who was the first holy roman emperor ? ,,, who
what can i use to remove the stubborn gummed labels from some diskettes ? ,,, what
what day of the week sees the most fatal car accidents ? ,,, what
what is the origin of the word , magic ? ,,, what
what sport do you shag flies in ? ,,, what
what is white chocolate ? ,,, what
where is trinidad ? ,,, unknown
name the organization that is presided by a security council . ,,, unknown
who graced the airwaves with such pearls as `` do ya lo-o-ove me ? get naked , baby ! '' ? ,,, who
what kind of wine is spumante ? ,,, what
who portrayed portly criminologist carl hyatt on checkmate ? ,,, what
how do you say i love you in spanish ? ,,, unknown
what does the name gina mean ? ,,, what
what is the most advanced handheld calculator in the world ? ,,, what
how fast is light ? ,,, unknown
what is the belt of low pressure around the equator called ? ,,, what
what are shooting stars ? ,,, what
whom did the chicago bulls beat in the 1993 championship ? ,,, unknown
when was the first american encyclopedia published ? ,,, when
what 's the tallest building in new york city ? ,,, what
how is easter sunday 's date determined ? ,,, unknown
what is the motto for the state of maryland ? ,,, what
who is desmond tutu ? ,,, who
where can i find information on the narragansett indians and other tribes in rhode island ? ,,, unknown
name a tiger that is extinct . ,,, unknown
how many quarters equal a pound ? ,,, unknown
what kind of books does fodor 's publish ? ,,, what
what are the first names of rowan and martin , the stars of tv 's laugh-in ? ,,, what
what chapter of the bible has the most verses ? ,,, what
who is the worst us president ever ? ,,, who
what asian leader was known as the little brown saint ? ,,, what
what is the abbreviated expression for the national bureau of investigation ? ,,, what
how fast does the fastest car go ? ,,, unknown
what is the highest mountain in the world ? ,,, what
what arch can you see from the place de la concorde ? ,,, what
who sings the song `` drink to me with thine eyes '' by ben johnson ? ,,, who
how long should a person wash their hands before they are clean ? ,,, unknown
which way do you turn your bic to increase the flame - clockwise or counterclockwise ? ,,, unknown
which is the wealthiest country in the world ? ,,, unknown
how can i find a phone number of someone if i only know their email address ? ,,, unknown
how can you contact play producers and promoters on-line ? ,,, unknown
who is the monarch of the united kingdom ? ,,, who
what is a fear of passing high objects ? ,,, what
what do players try to do when the music stops in a game of musical chairs ? ,,, what
what are the top ten most common girl names in the us ? ,,, what
why is black the color of mourning in the west ? ,,, unknown
what is the rarest coin ? ,,, what
what judith rossner novel was made into a film starring diane keaton ? ,,, what
which country is australia 's largest export market ? ,,, unknown
where is the kentucky horse park located ? ,,, unknown
what is a fear of parasites ? ,,, what
in what olympic games did nadia comaneci become popular ? ,,, unknown
who does data collection in tourism ? ,,, who
what was the name of the daughter of the virginia chief powhatan that married john rolfe ? ,,, what
what is the leading pecan and peanut growing state ? ,,, what
what does a nihilist believe in ? ,,, unknown
what did richard feynman say upon hearing he would receive the nobel prize in physics ? ,,, unknown
in what sport are these following numbers relevant : 118 , 126 , 134 , 142 , 15 , 158 , 167 , 177 , and 19 ? ,,, unknown
who were the four famous founders of united artists ? ,,, who
what 2 statues did france give to other countries ? ,,, what
what are amphibians ? ,,, what
how many sperm cells are in an average ejaculation ? ,,, unknown
name the disposable razor that `` costs about 19 cents . '' ,,, unknown
how far do you have to run if you hit a home run ? ,,, unknown
who was the only u.s. president to wear a nazi uniform ? ,,, who
woodrow wilson served as president of what university ? ,,, what
where are the tropical rain forest distributions ? ,,, unknown
what 's the nickname of oddsmaker jimmy snyder ? ,,, what
what is the fear of being loved ? ,,, what
what was the number of people that randy steven craft was convicted of killing ? ,,, what
what was queen victoria 's title regarding india ? ,,, what
how is a hydrogen bomb different from a nuclear bomb ? ,,, unknown
how far can a man travel in outer space ? ,,, unknown
where was lincoln assassinated ? ,,, unknown
what type of food makes you fat ? ,,, what
what is the name of the chronic neurological autoimmune disease which attacks the protein sheath that surrounds nerve cells causing a gradual loss of movement in the body ? ,,, what
what was the u.s. highway death toll in 1969 ? ,,, what
what kind of animals are dorsets , lincolns , oxfords and southdowns ? ,,, what
what are the shortest and the longest songs ever produced ? ,,, what
what letter is to the right of k on a typewriter keyboard ? ,,, what
what is the origin and the meaning of the name , `` hajo ? ,,,  what
what is the plural of gulf ? ,,, what
whose autobiography is titled yes i can ? ,,, unknown
what year did the united states pass the copyright law ? ,,, what
what percentage of americans own their homes ? ,,, what
what 's the first day of the week ? ,,, what
what city was president william mckinley shot in ? ,,, what
what city has the world 's longest subway system ? ,,, what
who claimed he killed 4 , 280 buffalo as food for the crew building the kansas pacific railway ? ,,, who
what is bombay duck ? ,,, what
how many degrees cooler is the inside of a cucumber than the air outside ? ,,, unknown
what double talking `` professor '' holds a doctorate in nothing ? ,,, what
what are the five most expensive cities in the world ? ,,, what
what 19th-century writer had a country estate on the hudson dubbed sunnyside ? ,,, what
how many layers of yellow paint is a faber mongol pencil lucky enough to be sprayed with ? ,,, unknown
what is a virtual ip address ? ,,, what
what was the name of the cook on rawhide ? ,,, what
what county is chicago in ? ,,, what
what is the wingspan of a condor ? ,,, what
what facial feature typically contains about 55 hairs ? ,,, what
who was named admiral of the ocean seas and viceroy and governor general of all the islands he might discover , and also granted 10-? of all profits of his voyage . ,,, who
how can i transport files from one computer to another ? ,,, unknown
what 's the literary term for a play on words ? ,,, what
what color were their horses ? ,,, what
what does an average daycare provider get paid in new england ? ,,, what
what author landed a 468-pound marlin without harness in the early 193 's ? ,,, what
how many americans fought for the british in the american revolution ? ,,, unknown
what kind of education do i need to become a flight attendant ? ,,, what
what are the two languages of malta ? ,,, what
how many oceans are there and name them ? ,,, unknown
what happened during the blackhawk indian war of 1832 ? ,,, what
how many pairs of legs does a lobster have ? ,,, unknown
what does the latin ante mortem mean ? ,,, what
what does the name shawn mean ? ,,, what
where is the danube ? ,,, unknown
what lawyer won the largest divorce settlement , $85 million , in u.s. history for sheika dena al-farri ? ,,, unknown
what do you call a group of geese ? ,,, what
who delivered his last newscast on march 6 , 1981 ? ,,, who
how many times has `` louie , louie '' been recorded ? ,,, unknown
how is answers.com different from knowpost.com ? ,,, unknown
what is the longest place name in the u.s. ? ,,, what
what percent liked thatcher after she had been in power for a decade ? ,,, what
where does buzz aldrin want to build a permanent , manned space station ? ,,, unknown
what was mel gibson 's first movie ? ,,, what
why was the l.a. office of shea and gould closed ? ,,, unknown
how do i start a bank ? ,,, unknown
how do ouija boards work ? ,,, unknown
what horse did zorro ride ? ,,, what
how do you get a broken cork out of a bottle ? ,,, unknown
where can i find correct tabs for third eye blind songs ? ,,, unknown
how do you determine heating requirements for your home ? ,,, unknown
what former major-league left-handed baseball pitcher was known as `` space man '' ? ,,, what
which hair care product told us `` hate that gray , wash it away '' ? ,,, unknown
why did the chicken cross the road ? ,,, unknown
what was michelangelo 's last name ? ,,, what
who is barbara jordan ? ,,, who
who was the democratic nominee in the american presidential election ? ,,, who
what was connecticut 's first constitution called ? ,,, what
what historical event happened in dogtown in 1899 ? ,,, what
what is being done about the millennium bug ? ,,, what
what was the claim to fame of king camp gillette ? ,,, what
what is the most common kind of skin cancer in the u.s. ? ,,, what
what is olestra ? ,,, what
what asian country has a bill of rights for cows ? ,,, what
how many fingers are used to draw a bow ? ,,, unknown
what are two plants that clothes are made from ? ,,, what
when was hurricane hugo ? ,,, what
what is the most heavily caffeinated soft drink ? ,,, what
what president-to-be was the first member of congress to enlist following the attack on pearl harbor ? ,,, what
what was the price of varian associates ' vacuum products division ? ,,, what
when was `` the great depression '' ? ,,, what
what language is mostly spoken in brazil ? ,,, what
what college produced the most winning super bowl quarterbacks ? ,,, what
how do you solve `` rubik 's cube '' ? ,,, unknown
what is prepared mustard ? ,,, what
what classical spanish writer warned : `` all that glitters is not gold '' ? ,,, what
what does `` antidisestablishmentarianism '' mean ? ,,, what
what actor married john f. kennedy 's sister ? ,,, what
what does a topophobic actor suffer from ? ,,, what
who fired maria ybarra from her position in san diego council ? ,,, who
the italian artist , maurizio pellegrin , is how old ? ,,, unknown
what type of hunting are retrievers used for ? ,,, what
what is colin powell best known for ? ,,, what
who was the first black golfer to tee off in the masters ? ,,, who
what city is the setting for puccini 's opera la boheme ? ,,, what
what u.s. president showed a fondness for munching on bee pollen bars ? ,,, what
what is measured in curies ? ,,, what
whose cover is that of an employee of universal import and export ? ,,, unknown
what former president 's daughter has written a book titled murder in the white house ? ,,, what
what fictional character is known as the `` melancholy dane '' ? ,,, what
italy is the largest producer of what ? ,,, what
what longtime game show host dropped dead while jogging in central park in 1984 ? ,,, what
what is the meaning of w.b. yeat 's poem , `` the three hermits ? ,,,  what
who were the `` filthiest people alive ? ,,,  who
what infectious disease is the world 's deadliest ? ,,, what
what is spumante ? ,,, what
in what year did ireland elect its first woman president ? ,,, what
what is an isthmus ? ,,, what
what was the name of the orca that died of a fungal infection ? ,,, what
where is mozambique located ? ,,, unknown
what is mississippi 's state animal ? ,,, what
what 's the origin of the word ` news ' ? ,,, what
what did dan aykroyd and john belushi quit saturday night live to become ? ,,, what
how many months does a normal human pregnancy last ? ,,, unknown
how do fuel injectors work ? ,,, unknown
how can your school march in the macy 's thanksgiving parade ? ,,, unknown
what is the real name of disc jockey `` wolfman jack '' ? ,,, what
what italian liner was hijacked in 1985 ? ,,, what
what city houses the u.s. headquarters of procter and gamble ? ,,, what
what soap was touted as being `` for people who like people '' ? ,,, what
how much was the minimum wage in 1991 ? ,,, unknown
what does nafta stand for ? ,,, what
who invented silly putty ? ,,, who
what new middle school was built in philadelphia , pennsylvania last year ? ,,, what
who patented the first phonograph ? ,,, who
what are some tips for building a fire in a fireplace ? ,,, what
what do manatees eat ? ,,, what
how do you say 2 in latin ? ,,, unknown
what were popular songs and types of songs in the 1920s ? ,,, what
how many vietnamese were there in the soviet union ? ,,, unknown
what is november 's birthstone ? ,,, what
what is a certified nurse midwife ? ,,, what
on average , how many miles are there to the moon ? ,,, unknown
who created private detective philip marlowe ? ,,, who
what boris pasternak book sold 5 , 0 copies to become the fiction best-seller of 1958 ? ,,, what
what is the origin of the expression `` tout de suite '' ? ,,, what
what is the longest english word ? ,,, what
what is the purpose of a car bra ? ,,, what
what is d.b. cooper known for ? ,,, what
who is colin powell ? ,,, who
what species is a colt ? ,,, what
what is the full name of the plo ? ,,, what
what is the smallest country in africa ? ,,, what
who coined the term nn cyberspace `` in his novel nn neuromancer '' ? ,,, who
what age followed the bronze age ? ,,, what
what is her profession ? ,,, what
what is the full name of the man who invented the multicolored game cube that has 42.3 quintillion potential combinations ? ,,, what
what does the word laser mean ? ,,, what
what does the name `` anthony '' mean ? ,,, what
who was lauren bacall 's first husband ? ,,, who
what is a rhomboideus minor ? ,,, what
how many hands does bjorn borg use when hitting his forehand ? ,,, unknown
how many people died on d-day ? ,,, unknown
what u.s. congressman said : `` keep the faith , baby '' . ,,, what
who created the character of scrooge ? ,,, who
what is the student population at the university of massachusetts in amherst ? ,,, what
where is windsor castle ? ,,, unknown
when did the dow first reach ? ,,, when
why were people recruited for the vietnam war ? ,,, unknown
what party was winston churchill a member of ? ,,, what
what american league baseball team 's worst finish between 1926 and 1964 was fourth ? ,,, what
where can i find the names of all the 15 pokemon ? ,,, unknown
what state does martha stewart live in ? ,,, what
which killer whale died at sea world of a fungal infection ? ,,, unknown
what are the benelux countries ? ,,, what
where 's the petrified forest ? ,,, unknown
what is a language spoken by the sioux ? ,,, what
where is tornado alley ? ,,, unknown
who was the author of `` john brown 's body '' ? ,,, who
what american poet wrote : `` good fences make good neighbors '' ? ,,, what
what state in the u.s. has the most blacks ? ,,, what
why are electric cars less efficient in the northeast than in california ? ,,, unknown
what was the occupation of mandy rice-davies ? ,,, what
what is the city in which maurizio pellegrin lives called ? ,,, what
who painted the sistine chapel ? ,,, who
name the various costumed personas of dr. henry pym . ,,, unknown
what breed of dog was the `` little rascals '' dog ? ,,, what
what are the living conditions in cuba ? ,,, what
what color are school buses ? ,,, what
what is the oldest website on the internet ? ,,, what
what events happened january 26 , 1978 ? ,,, what
what explorers followed columbus to the americas ? ,,, what
who is actress goldie hawn 's current actor boyfriend ? ,,, who
who banned peter rose from baseball for betting on games ? ,,, who
what are the seven virtues ? ,,, what
what other name were the `` little rascals '' known as ? ,,, what
when was the san francisco fire ? ,,, when
what is a fear of food ? ,,, what
how many casinos are in atlantic city , nj ? ,,, unknown
what year did the vietnam war end ? ,,, what
what are the names of richard nixon 's two daughters ? ,,, what
what 's the word for broken glass or sharp rocks embedded in cement on top of a wall ? ,,, what
what is the chromosome number of an elephant ? ,,, what
what organization was founded by the rev. jerry falwell ? ,,, what
what 's the longest river in the world ? ,,, what
which soft drink does madonna advertise for ? ,,, unknown
what company is being bought by yahoo and how much is the deal worth ? ,,, what
when was berlin 's brandenburg gate erected ? ,,, when
how many double-word-score spaces are there on a scrabble crossword game board ? ,,, unknown
what year did germany sign its nonaggression pact with the soviet union ? ,,, what
what mountain range is traversed by the highest railroad in the world ? ,,, what
why were the american soldiers in wwi called `` doughboys '' ,,, unknown
who was nicknamed the little corporal ? ,,, who
how many cds has garth brooks sold ? ,,, unknown
name the vessel used by the atari force in the dc comics . ,,, unknown
where are the leading medical groups specializing in lung diseases ? ,,, unknown
how can i find online spelling , and punctuation drills for my 6th grader ? ,,, unknown
what 's the sacred river of india ? ,,, what
what is stefan edberg 's native country ? ,,, what
what is the only gland in humans that can regenerate itself ? ,,, what
how many gutenberg bibles are there ? ,,, unknown
name the largest country in south america . ,,, unknown
what astronomical phenomenon takes place in jan. 1999 ? ,,, what
what information can you get me on fairground park in st. louis ,,, what
what was american folk hero john chapman 's nickname ? ,,, what
what is the difference between a median and a mean ? ,,, what
what was the top box office movie in april 1998 ? ,,, what
what makes thunder ? ,,, what
what author did photographer yousuf karsh call `` the shiest man i ever met '' ? ,,, what
which is the largest clock , diameter wise , in europe ? ,,, unknown
what plant is rum made from ? ,,, what
what country are godiva chocolates from ? ,,, what
name the poet of the poem which begins : i do not know much about gods ; but i think that the river is a strong brown god-sullen , and untamed ? ,,, unknown
which condiment was once sold as a patent medicine ? ,,, unknown
what u.s. state records the least rainfall ? ,,, what
why did the world enter a global depression in 1929 ? ,,, unknown
what was archy , and mehitabel ? ,,, what
what texas city got its name from the spanish for `` yellow '' ? ,,, what
what are the chemicals used in glowsticks ? ,,, what
what country did the nile river originate in ? ,,, what
what color are tennis balls ? ,,, what
what barroom judge called himself the law west of the pecos ? ,,, what
what excuse did the nato people give for hitting the chinese embassy ? ,,, what
who was president of costa rica in 1994 ? ,,, who
what sports event is meyer wolfsheim supposed to have fixed in the great gatsby ? ,,, what
what country has the best defensive position in the board game diplomacy ? ,,, what
what two countries share the khyber pass ? ,,, what
who was chairman of the senate select committee that tried to get to the bottom of watergate ? ,,, who
what is the origin of the surname of braun ? ,,, what
what card game has variations called canfield , klondike and spider ? ,,, what
what is australia day ? ,,, what
what mammal of north america is the world 's longest-lived for its size ? ,,, what
what was the chivington massacre ? ,,, what
what actor starred in 1980 's blue lagoon , 1982 's the pirate movie and 1983 's a night in heaven ? ,,, what
how many home runs did lou gehrig have during his career ? ,,, unknown
in what city is the headquarters of sinn fein ? ,,, what
where can i find information on george bush ? ,,, unknown
who is the voice of miss piggy ? ,,, who
what is the dialogue circle in cartoons called ? ,,, what
what does the word camaro mean , from the gm car the camaro ? ,,, what
who replaced bert parks as the host of the miss america pageant ? ,,, who
how many boys play the game in winslow homer 's 1872 painting snap the whip ? ,,, unknown
what is the aim-54c phoenix ? ,,, what
when are sheep shorn ? ,,, when
what sport is chris jogis a top player of ? ,,, what
what 's the second-largest island in the world ? ,,, what
what is the definition of low island ? ,,, what
what century does captain video live in ? ,,, what
what types of water pollution are there ? ,,, what
how many astronauts manned each project mercury flight ? ,,, unknown
what soft drink would provide me with the biggest intake of caffeine ? ,,, what
what 's the name of a golf course in myrtle beach ? ,,, what
what are some of the significant historical events of the 1990s ? ,,, what
name the only extant trilogy of classical greek plays . ,,, unknown
where is logan airport ? ,,, unknown
what is the difference between neoclassical art and romanticism art ? ,,, what
who was the first person inducted into the u.s. swimming hall of fame ? ,,, who
what golfer has been called ohio fats and blobbo ? ,,, what
who murdered leno and rosemary labianca on august 1 ,,, who
what is the average cost for four years of medical school ? ,,, what
what does god create in the first sentence of the bible ? ,,, what
which of the following men was not married to rita hayworth ? ,,, unknown
what is the current ticket fare from from cairo to barbados ? ,,, what
what does nn o `` mean when used as a prefix in irish surnames ? ,,, what
how do you find oxidation numbers ? ,,, unknown
what is the state nickname of mississippi ? ,,, what
what is black hills , south dakota most famous for ? ,,, what
what 1966 boob tube bomb took astronauts back to prehistoric times ? ,,, what
how many students attend the university of massachusetts ? ,,, unknown
who said , `` i shall return . '' during world war two ? ,,, who
what holidays are celebrated in ireland ? ,,, what
who portrayed etta place , companion to butch cassidey and the sundance kid ? ,,, who
what are the greek numerals ? ,,, what
what 's the name of the temple that is located near the capital city of laos ? ,,, what
what is a fear of sleep ? ,,, what
what auto race was wilbur reed the first to win three times ? ,,, what
what are the most common breeding birds in the u.s. ? ,,, what
what was organized as a confederate veterans ' social club in pulaski , in tennessee , in 1866 ? ,,, what
how do you look up criminal records on the internet ? ,,, unknown
where is the actress , marion davies , buried ? ,,, unknown
what is an example of an actual case of using the fourteenth amendment ? ,,, what
who was the charlie perfume woman ? ,,, who
who portrayed `` rosanne rosanna-dana '' on the television show `` saturday night live '' ? ,,, who
is there a cab available for airport? ,,, affirmation
is it raining outside ? ,,, affirmation
is there any pizza left ? ,,, affirmation
is there a truck parked infront of the house ? ,,, affirmation
what time does the flight leave ? ,,, when
what time does the train arrive ? ,,, when
what time do we go to the mall ? ,,, when
what time are we leaving ? ,,, when
what time does the president give his speech ? ,,, when
what time do you go to the school ? ,,, when
what time are you planning to leave ? ,,, when
what time are you thinking of going to the dentist ? ,,, when
what time is it right now ? ,,, when
who was gerald ford 's vice president ? ,,, who
who invented batteries ? ,,, who
who did sonny liston succeed as world heavyweight boxing champion ? ,,, who
whose video is titled shape up with arnold ? ,,, unknown
who 's the twin brother of the greek goddess artemis ? ,,, who
who was america 's first public enemy no. 1 ? ,,, who
who is dear abby ? ,,, who
who lives at 24 sussex drive , ottawa ? ,,, who
who was monet ? ,,, who
who was the famous door-to-door brush salesman ? ,,, who
who is always trying to get the rent from andy capp ? ,,, who
who did jackie kennedy commission to write the death of a president ? ,,, who
who sought to create the great society ? ,,, who
who said : `` soldiers win the battles and generals get the credit '' ? ,,, who
who is the current un secretary general ? ,,, who
who provides telephone service in orange county , california ? ,,, who
who was lacan ? ,,, who
who was the secretary of war in the civil war during the battle of gettysburg ? ,,, who
who did bobby fischer beat to win the world chess championship ? ,,, who
who lives at 39 stone canyon way ? ,,, who
who played humpty dumpty in the 1933 film alice in wonderland ? ,,, who
who is karenna gore , al gore 's oldest daughter , married to ? ,,, who
who played the title role in i was a teenage werewolf ? ,,, who
who was the inventor of the stove ? ,,, who
who was the king who was forced to agree to the magna carta ? ,,, who
who was made the first honorary citizen of the u.s. ? ,,, who
who is known as `` the world 's oldest teenager '' ? ,,, who
who was with patricia hearst the night she was kidnaped ? ,,, who
who advised listeners to `` see the u.s.a. in your chevrolet '' ? ,,, who
who sang about desmond and molly jones ? ,,, who
who developed the first polio vaccine ? ,,, who
who made the first gas engine ? ,,, who
who sells viagra ? ,,, who
who was darius ? ,,, who
who did dita beard work for ? ,,, who
who served as inspiration for the schoolteacher portrayed by robin williams in `` dead poets society '' ? ,,, who
who is the best known villain of the 165 gunpowder plot ? ,,, who
who killed more people , hitler or stalin ? ,,, who
who is nicolo paganini ? ,,, who
who portrayed dracula in hammer studios ' films ? ,,, who
who was jean nicolet ? ,,, who
who was the original humpty dumpty ? ,,, who
whose cupboard was bare ? ,,, unknown
who invented the vacuum cleaner ? ,,, who
who does shakespeare 's antonio borrow 3 , 0 ducats from ? ,,, who
who is the voyager project manager ? ,,, who
who replies `` i know '' to princess leia 's confession `` i love you '' in the empire strikes back ? ,,, who
who won the 1967 academy award for best actor ? ,,, who
who was the first taiwanese president ? ,,, who
who is luke skywalker 's father ? ,,, who
who was jane goodall ? ,,, who
who created the comic strip , `` garfield '' ? ,,, who
who is the current prime minister and president of russia ? ,,, who
who established a viking colony in greenland about 985 ? ,,, who
who shot and killed himself while painting wheatfield with crows ? ,,, who
who was the architect of central park ? ,,, who
who were the yankee 's frequent enemies ? ,,, who
who wrote sons and lovers ? ,,, who
who was the star of leave it to beaver ? ,,, who
who did richard nixon tender his resignation to ? ,,, who
who was thucydides ? ,,, who
who took over as conductor of the boston pops after arthur fiedler 's long reign ? ,,, who
who is the fastest guitarist ? ,,, who
who betrayed norway to the nazis ? ,,, who
who took the toys donated for the doodyville orphans ' fund and kept them for himself ? ,,, who
who were the picts ? ,,, who
who is stationed at camp swampy in the comic strips ? ,,, who
who wrote the look of love after viewing ursula andress ? ,,, who
who claims to have the greatest show on earth ? ,,, who
who invented the paper clip ? ,,, who
whom did lauren bacall marry after her husband humphrey bogart died ? ,,, unknown
who created the fantastic four , hulk , and thor ? ,,, who
who is the composer of `` canon in d major '' ? ,,, who
who was the author of the novel `` far from the madding crowd '' ? ,,, who
who was camp david named for ? ,,, who
who portrayed `` the man without a face '' in the movie of the same name ? ,,, who
who won the first world series ? ,,, who
who is samuel pickering ? ,,, who
who was credited with saying : `` i never met a man i did n't like '' ? ,,, who
who created big ben ? ,,, who
who played the title role in my favorite martian ? ,,, who
who invented the game scrabble ? ,,, who
who is considered the first lady of the american stage ? ,,, who
who penned : `` neither a borrower nor a lender be '' ? ,,, who
who headed hitler 's infamous gestapo ? ,,, who
who made the musical plea be true to your school ? ,,, who
who made stonehenge ? ,,, who
who 's the founder and editor of the national review ? ,,, who
who was the first governor of west virginia ? ,,, who
who was the first woman to fly solo across the atlantic ? ,,, who
who started the dominos pizza chain ? ,,, who
who is the famous movie star who also acted as sewer commissioner of provo canyon , utah ? ,,, who
who portrayed vincent van gogh in lust for life ? ,,, who
who was known as the time master in comic books ? ,,, who
who is the father of the computer ? ,,, who
who said : `` old soldiers never die ; they just fade away '' ? ,,, who
who 's the only man to have won the olympic decathlon twice ? ,,, who
who was the second man to walk on the moon ? ,,, who
who is the pope ? ,,, who
who is imam hussain ben ali whom shia people believe in ? ,,, who
who was william henry harrison ? ,,, who
who was the first black performer to have his own network tv show ? ,,, who
who directed the wild bunch ? ,,, who
who runs andy capp 's favorite pub ? ,,, who
who invented the game bowling ? ,,, who
who is the creator of `` the muppets '' ? ,,, who
who asked you to do the loco-motion with her in 1962 ? ,,, who
who made the first surfboard ? ,,, who
who is the greek god of the sea ? ,,, who
who was the first woman governor of wyoming ? ,,, who
who was charles lindbergh 's wife ? ,,, who
who sings angel eyes from the 80 's ? ,,, who
who wrote ` hamlet ' ? ,,, who
who was the russian ambassador to hungary during the 1956 uprising ? ,,, who
who holds the nfl record for most touchdowns in a season ? ,,, who
who is shirley maclaine ? ,,, who
who wrote ` the pines of rome ' ? ,,, who
who played for the chicago bears , houston oilers and oakland raiders in a 26-year pro football career ? ,,, who
who leads the star ship enterprise in star trek ? ,,, who
who won world war ii ? ,,, who
who was garrett morgan married to ? ,,, who
who is ishmael in moby dick ? ,,, who
who was the conservationist who served as spokesperson for post grape nuts ? ,,, who
who was whitcomb judson ? ,,, who
who shoplifts ? ,,, who
whose image is alleged to be on the shroud of turin ? ,,, unknown
who said : `` the victor will never be asked if he told the truth '' ? ,,, who
who is langston hughes ? ,,, who
who wrote the book , `` the grinch who stole christmas '' ? ,,, who
who seized power from milton obote in 1971 ? ,,, who
who is the prophet of medina ? ,,, who
whose funeral train traveled from washington d.c. to springfield , illinois ? ,,, unknown
who is the queen of holland ? ,,, who
who says , `` if you don 't look good , we don 't look good '' ? ,,, who
who was secretary of state during the nixon administration ? ,,, who
who is johnny carson ? ,,, who
who painted `` soft self-portrait with grilled bacon '' ? ,,, who
who killed caesar ? ,,, who
who is count cinzano ? ,,, who
who 's won the most oscars for costume design ? ,,, who
who wrote the red badge of courage ? ,,, who
who invented the road traffic cone ? ,,, who
who won the battle of gettysburg ? ,,, who
who was the captain of the tanker , exxon valdez , involved in the oil spill in prince william sound , alaska , 1989 ? ,,, who
who is stephen hawking ? ,,, who
what actor came to dinner in guess who 's coming to dinner ? ,,, who
who was the first actress to appear on a postage stamp ? ,,, who
who was the first black woman to star in the folies bergeres ? ,,, who
who asked the musical question : `` have you ever been to electric lady land ? ,,, who
who wrote : `` poems are made by fools like me but only god can make a tree '' ? ,,, who
who played the part of the godfather in the movie , ` the godfather ' ? ,,, who
who invented the wonderbra ? ,,, who
who owns the st. louis rams ? ,,, who
who made the most appearances in the center square on hollywood squares ? ,,, who
who said `` the only thing we have to fear is fear itself '' ? ,,, who
who is the sexiest women in the world ? ,,, who
who was the supreme god of germanic religion ? ,,, who
who 's played the most games for the new york yankees ? ,,, who
who won the superbowl in ? ,,, who
who directed citizen kane ? ,,, who
whose special bear 's creator was born on january 18 , 1779 ? ,,, unknown
who said : `` what contemptible scoundrel stole the cork from my lunch ? '' ,,, who
who was the author of the famous fairy tale `` snow white and seven dwarfs '' ? ,,, who
who is behind the name of the harvey wallbanger drink ? ,,, who
who is the premier of china ? ,,, who
who was the president of vichy france ? ,,, who
whose kidnaping was termed the crime of the century ? ,,, unknown
who first broke the sound barrier ? ,,, who
who was scrooge 's dead partner in dickens 's a christmas carol ? ,,, who
who recorded the 1957 hit tammy ? ,,, who
who is mia farrow 's mother ? ,,, who
who was the only president to serve two nonconsecutive terms ? ,,, who
who reports the weather on the `` good morning america '' television show ? ,,, who
who sent the brief message `` i came , i saw , i conquered '' ? ,,, who
who are the nomadic hunting and gathering tribe of the kalahari desert in africa ? ,,, who
who won a pulitzer prize for his novel the caine mutiny ? ,,, who
who portrayed sherlock holmes in 14 films between 1939 and 1946 ? ,,, who
who claimed to be the world 's most perfectly-developed man ? ,,, who
who portrayed carl bernstein in all the president 's men ? ,,, who
who was tiny tim 's father ? ,,, who
who was bonnie blue butler 's father ? ,,, who
who is the antichrist ? ,,, who
who was the lawyer who represented randy steven craft ? ,,, who
who wrote the farmer 's almanac ? ,,, who
who was the 15th century fire-and-brimstone monk who gained control of florence but ended burnt at the stake ? ,,, who
who was quetzalcoatl ? ,,, who
who is the prime minister of japan ? ,,, who
who wrote the book , `` song of solomon '' ? ,,, who
who is the president of the spanish government ? ,,, who
who holds the career record for the most major league home runs ? ,,, who
who invented the stethoscope ? ,,, who
who retired with 755 home runs to his credit ? ,,, who
who developed potlatch ? ,,, who
who is the actress bette davis once said she wished she looked like ? ,,, who
when did iraqi troops invade kuwait ? ,,, when
